,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,propRelevantSignalsInVocab,receiverIntentionDict
7,"(4, 0)","(4, 7)",green square,"['red', 'circle', 'green', 'purple', 'square', 'triangle']","{(3, 8): 'green circle', (0, 6): 'purple circle', (2, 9): 'green square', (1, 5): 'red triangle', (8, 1): 'purple square', (3, 5): 'green triangle'}",6,1.0,"{'green': 'purple square', 'circle': 'green circle', 'triangle': 'green triangle', 'red': 'red triangle', 'square': 'green square', 'purple': 'purple circle'}"
14,"(4, 0)","(4, 7)",red circle,"['green', 'circle', 'purple', 'square', 'red']","{(4, 5): 'purple square', (1, 2): 'green circle', (3, 2): 'red square', (0, 5): 'red circle'}",4,1.0,"{'red': 'red circle', 'green': 'green circle', 'circle': 'red circle', 'purple': 'purple square', 'square': 'red square'}"
42,"(4, 0)","(4, 7)",purple circle,"['circle', 'purple', 'green', 'triangle', 'square', 'red']","{(7, 0): 'green triangle', (1, 9): 'purple square', (6, 7): 'purple circle', (0, 3): 'purple triangle', (4, 1): 'red square', (0, 2): 'red circle', (8, 5): 'red triangle', (6, 0): 'green square'}",8,1.0,"{'green': 'green square', 'circle': 'purple circle', 'triangle': 'red triangle', 'red': 'red triangle', 'square': 'purple square', 'purple': 'purple triangle'}"
55,"(4, 0)","(4, 7)",green square,"['triangle', 'circle', 'purple', 'red', 'green', 'square']","{(1, 2): 'red circle', (8, 3): 'green circle', (2, 6): 'green square', (0, 4): 'red triangle', (3, 0): 'purple triangle', (6, 1): 'purple square', (3, 5): 'purple circle'}",7,1.0,"{'green': 'green square', 'circle': 'purple circle', 'triangle': 'red triangle', 'red': 'red triangle', 'square': 'green square', 'purple': 'purple circle'}"
63,"(4, 0)","(4, 7)",green triangle,"['purple', 'triangle', 'circle', 'square', 'green', 'red']","{(5, 6): 'purple triangle', (8, 4): 'red circle', (7, 0): 'green square', (1, 7): 'green triangle'}",4,1.0,"{'green': 'green triangle', 'circle': 'red circle', 'triangle': 'green square', 'red': 'red circle', 'square': 'green square', 'purple': 'purple triangle'}"
65,"(4, 0)","(4, 7)",red square,"['purple', 'triangle', 'green', 'circle', 'red', 'square']","{(7, 4): 'purple square', (2, 6): 'green square', (5, 0): 'red triangle', (8, 1): 'green triangle', (8, 6): 'green circle', (5, 8): 'red square'}",6,1.0,"{'green': 'green square', 'circle': 'green circle', 'triangle': 'green triangle', 'red': 'red square', 'square': 'green square', 'purple': 'purple square'}"
87,"(4, 0)","(4, 7)",red triangle,"['green', 'red', 'square', 'circle', 'triangle', 'purple']","{(7, 4): 'red square', (7, 8): 'red triangle', (4, 9): 'green triangle', (4, 2): 'purple triangle', (0, 3): 'purple square', (0, 8): 'purple circle', (8, 5): 'green square', (1, 1): 'green circle', (0, 7): 'red circle'}",9,1.0,"{'green': 'green square', 'circle': 'red circle', 'triangle': 'red triangle', 'red': 'red square', 'square': 'red square', 'purple': 'purple circle'}"
88,"(4, 0)","(4, 7)",green circle,"['green', 'purple', 'circle', 'red', 'triangle', 'square']","{(7, 3): 'purple square', (2, 0): 'green square', (2, 2): 'purple circle', (2, 5): 'red triangle', (0, 8): 'green circle', (4, 1): 'green triangle'}",6,1.0,"{'green': 'green circle', 'circle': 'green circle', 'triangle': 'red triangle', 'red': 'red triangle', 'square': 'purple square', 'purple': 'purple square'}"
92,"(4, 0)","(4, 7)",red triangle,"['purple', 'triangle', 'square', 'red', 'green', 'circle']","{(1, 5): 'green triangle', (6, 9): 'green circle', (2, 1): 'red circle', (6, 6): 'red triangle', (5, 1): 'green square', (2, 2): 'purple triangle', (0, 7): 'purple square', (3, 3): 'purple circle'}",8,1.0,"{'green': 'green triangle', 'circle': 'green circle', 'triangle': 'green triangle', 'red': 'red triangle', 'square': 'purple square', 'purple': 'purple square'}"
94,"(4, 0)","(4, 7)",purple triangle,"['square', 'triangle', 'purple', 'red', 'circle', 'green']","{(2, 1): 'red circle', (5, 5): 'purple square', (7, 6): 'purple triangle', (0, 2): 'green square', (5, 8): 'red square', (6, 0): 'green triangle'}",6,1.0,"{'green': 'green square', 'circle': 'red circle', 'triangle': 'purple triangle', 'red': 'red square', 'square': 'purple square', 'purple': 'purple square'}"
106,"(4, 0)","(4, 7)",red circle,"['green', 'red', 'square', 'purple', 'triangle', 'circle']","{(1, 8): 'purple triangle', (6, 8): 'purple square', (8, 7): 'red triangle', (0, 4): 'red circle', (8, 1): 'green circle', (8, 6): 'purple circle'}",6,1.0,"{'green': 'green circle', 'circle': 'red circle', 'triangle': 'red triangle', 'red': 'red circle', 'square': 'purple square', 'purple': 'purple circle'}"
112,"(4, 0)","(4, 7)",green circle,"['purple', 'circle', 'square', 'triangle', 'green', 'red']","{(7, 3): 'red square', (4, 9): 'red circle', (1, 9): 'green triangle', (2, 2): 'green square', (5, 6): 'purple square', (1, 6): 'green circle', (5, 7): 'purple circle', (8, 4): 'purple triangle'}",8,1.0,"{'green': 'green triangle', 'circle': 'purple circle', 'triangle': 'purple triangle', 'red': 'red circle', 'square': 'purple square', 'purple': 'purple triangle'}"
123,"(4, 0)","(4, 7)",purple square,"['purple', 'triangle', 'square', 'red', 'circle', 'green']","{(3, 8): 'green square', (7, 0): 'red circle', (5, 0): 'purple circle', (6, 6): 'red triangle', (8, 6): 'red square', (7, 6): 'purple square', (0, 8): 'green triangle', (5, 3): 'purple triangle'}",8,1.0,"{'green': 'green square', 'circle': 'purple circle', 'triangle': 'red triangle', 'red': 'red square', 'square': 'purple circle', 'purple': 'purple square'}"
124,"(4, 0)","(4, 7)",green square,"['triangle', 'red', 'purple', 'circle', 'green', 'square']","{(0, 1): 'purple square', (0, 9): 'green square', (0, 5): 'green circle', (3, 3): 'red square', (4, 3): 'red triangle'}",5,1.0,"{'green': 'green square', 'circle': 'green circle', 'triangle': 'red triangle', 'red': 'red square', 'square': 'green square', 'purple': 'purple square'}"
125,"(4, 0)","(4, 7)",purple circle,"['triangle', 'circle', 'square', 'green', 'red', 'purple']","{(7, 3): 'red square', (0, 0): 'green circle', (0, 5): 'green square', (2, 9): 'purple circle', (1, 4): 'green triangle', (3, 5): 'purple square'}",6,1.0,"{'green': 'green square', 'circle': 'purple circle', 'triangle': 'green triangle', 'red': 'red square', 'square': 'green square', 'purple': 'purple square'}"
