,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,receiverIntentionDict,revTargetDict,barrierDict,recTraj,recActSeq,sigTraj,sigActSeq
0,"(4, 0)","(4, 7)",purple circle,"['square', 'circle', 'triangle', 'red', 'purple', 'green']","{(8, 1): 'green square', (0, 0): 'green circle', (1, 8): 'red circle', (7, 7): 'red triangle', (7, 4): 'purple circle'}",5,R,"{'square': 'green square', 'circle': 'red circle', 'triangle': 'red triangle', 'red': 'red circle', 'purple': 'purple circle', 'green': 'green circle'}","{'green square': (8, 1), 'green circle': (0, 0), 'red circle': (1, 8), 'red triangle': (7, 7), 'purple circle': (7, 4)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1)], 'green circle': [(4, 7), (4, 6), (3, 6), (2, 6), (1, 6), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1), (0, 0)], 'red circle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 8)], 'red triangle': [(4, 7), (5, 7), (6, 7), (7, 7)], 'purple circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4)]}","{'green square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'right'], 'green circle': ['down', 'left', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down'], 'red circle': ['left', 'left', 'left', 'up'], 'red triangle': ['right', 'right', 'right'], 'purple circle': ['left', 'left', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right']}","{'green square': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1)], 'green circle': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0)], 'red circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (1, 6), (1, 7), (1, 8)], 'red triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)], 'purple circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 4), (6, 4), (7, 4)]}","{'green square': ['right', 'right', 'right', 'right', 'up'], 'green circle': ['left', 'left', 'left', 'left'], 'red circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'up', 'up', 'up'], 'red triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'purple circle': ['up', 'up', 'up', 'up', 'right', 'right', 'right']}"
1,"(4, 0)","(4, 7)",purple square,"['circle', 'square', 'triangle', 'red', 'purple', 'green']","{(8, 1): 'green circle', (0, 0): 'green square', (1, 8): 'red square', (7, 7): 'red triangle', (7, 4): 'purple square'}",5,S,"{'circle': 'green circle', 'square': 'red square', 'triangle': 'red triangle', 'red': 'red square', 'purple': 'purple square', 'green': 'green square'}","{'green circle': (8, 1), 'green square': (0, 0), 'red square': (1, 8), 'red triangle': (7, 7), 'purple square': (7, 4)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1)], 'green square': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1), (0, 0)], 'red square': [(4, 7), (4, 8), (3, 8), (2, 8), (1, 8)], 'red triangle': [(4, 7), (5, 7), (6, 7), (7, 7)], 'purple square': [(4, 7), (5, 7), (6, 7), (7, 7), (7, 6), (7, 5), (7, 4)]}","{'green circle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'right'], 'green square': ['left', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down'], 'red square': ['up', 'left', 'left', 'left'], 'red triangle': ['right', 'right', 'right'], 'purple square': ['right', 'right', 'right', 'down', 'down', 'down']}","{'green circle': [(4, 0), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1)], 'green square': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0)], 'red square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8)], 'red triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)], 'purple square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4)]}","{'green circle': ['up', 'right', 'right', 'right', 'right'], 'green square': ['left', 'left', 'left', 'left'], 'red square': ['up', 'up', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up'], 'red triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'purple square': ['left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right']}"
2,"(4, 0)","(4, 7)",red circle,"['green', 'red', 'purple', 'square', 'circle', 'triangle']","{(2, 1): 'green triangle', (6, 0): 'red triangle', (6, 9): 'red square', (8, 6): 'purple square', (4, 3): 'red circle'}",5,R,"{'green': 'green triangle', 'red': 'red square', 'purple': 'purple square', 'square': 'purple square', 'circle': 'red circle', 'triangle': 'green triangle'}","{'green triangle': (2, 1), 'red triangle': (6, 0), 'red square': (6, 9), 'purple square': (8, 6), 'red circle': (4, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1)], 'red triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (6, 1), (6, 0)], 'red square': [(4, 7), (5, 7), (6, 7), (6, 8), (6, 9)], 'purple square': [(4, 7), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'red circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3)]}","{'green triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down'], 'red triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down'], 'red square': ['right', 'right', 'up', 'up'], 'purple square': ['down', 'right', 'right', 'right', 'right'], 'red circle': ['left', 'left', 'down', 'down', 'down', 'down', 'right', 'right']}","{'green triangle': [(4, 0), (4, 1), (3, 1), (2, 1)], 'red triangle': [(4, 0), (5, 0), (6, 0)], 'red square': [(4, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9)], 'purple square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'red circle': [(4, 0), (4, 1), (4, 2), (4, 3)]}","{'green triangle': ['up', 'left', 'left'], 'red triangle': ['right', 'right'], 'red square': ['left', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right'], 'purple square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'red circle': ['up', 'up', 'up']}"
3,"(4, 0)","(4, 7)",purple triangle,"['square', 'triangle', 'circle', 'red', 'purple', 'green']","{(2, 1): 'green square', (6, 0): 'green triangle', (6, 9): 'red triangle', (8, 6): 'red circle', (4, 3): 'purple triangle'}",5,S,"{'square': 'green square', 'triangle': 'red triangle', 'circle': 'red circle', 'red': 'red triangle', 'purple': 'purple triangle', 'green': 'green square'}","{'green square': (2, 1), 'green triangle': (6, 0), 'red triangle': (6, 9), 'red circle': (8, 6), 'purple triangle': (4, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green square': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (2, 1)], 'green triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (6, 1), (6, 0)], 'red triangle': [(4, 7), (4, 8), (4, 9), (5, 9), (6, 9)], 'red circle': [(4, 7), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'purple triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3)]}","{'green square': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'down'], 'green triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down'], 'red triangle': ['up', 'up', 'right', 'right'], 'red circle': ['down', 'right', 'right', 'right', 'right'], 'purple triangle': ['down', 'down', 'down', 'down']}","{'green square': [(4, 0), (3, 0), (2, 0), (2, 1)], 'green triangle': [(4, 0), (5, 0), (6, 0)], 'red triangle': [(4, 0), (3, 0), (3, 1), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9)], 'red circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3)]}","{'green square': ['left', 'left', 'up'], 'green triangle': ['right', 'right'], 'red triangle': ['left', 'up', 'up', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right'], 'red circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'purple triangle': ['up', 'up', 'left', 'left', 'up', 'right', 'right']}"
4,"(4, 0)","(4, 7)",purple circle,"['green', 'purple', 'red', 'triangle', 'circle', 'square']","{(3, 2): 'green square', (0, 0): 'purple square', (4, 9): 'purple triangle', (3, 9): 'red triangle', (5, 3): 'purple circle'}",5,R,"{'green': 'green square', 'purple': 'purple triangle', 'red': 'red triangle', 'triangle': 'red triangle', 'circle': 'purple circle', 'square': 'green square'}","{'green square': (3, 2), 'purple square': (0, 0), 'purple triangle': (4, 9), 'red triangle': (3, 9), 'purple circle': (5, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2)], 'purple square': [(4, 7), (4, 6), (3, 6), (2, 6), (1, 6), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1), (0, 0)], 'purple triangle': [(4, 7), (4, 8), (4, 9)], 'red triangle': [(4, 7), (4, 8), (4, 9), (3, 9)], 'purple circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3), (5, 3)]}","{'green square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right'], 'purple square': ['down', 'left', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down'], 'purple triangle': ['up', 'up'], 'red triangle': ['up', 'up', 'left'], 'purple circle': ['left', 'left', 'down', 'down', 'down', 'down', 'right', 'right', 'right']}","{'green square': [(4, 0), (3, 0), (3, 1), (3, 2)], 'purple square': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9)], 'red triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9)], 'purple circle': [(4, 0), (4, 1), (4, 2), (4, 3), (5, 3)]}","{'green square': ['left', 'up', 'up'], 'purple square': ['left', 'left', 'left', 'left'], 'purple triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right'], 'red triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right'], 'purple circle': ['up', 'up', 'up', 'right']}"
5,"(4, 0)","(4, 7)",red triangle,"['circle', 'triangle', 'square', 'green', 'red', 'purple']","{(3, 2): 'purple circle', (0, 0): 'purple triangle', (4, 9): 'green triangle', (3, 9): 'green square', (5, 3): 'red triangle'}",5,S,"{'circle': 'purple circle', 'triangle': 'green triangle', 'square': 'green square', 'green': 'green triangle', 'red': 'red triangle', 'purple': 'purple circle'}","{'purple circle': (3, 2), 'purple triangle': (0, 0), 'green triangle': (4, 9), 'green square': (3, 9), 'red triangle': (5, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2)], 'purple triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (1, 3), (0, 3), (0, 2), (0, 1), (0, 0)], 'green triangle': [(4, 7), (4, 8), (4, 9)], 'green square': [(4, 7), (4, 8), (4, 9), (3, 9)], 'red triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (5, 3)]}","{'purple circle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right'], 'purple triangle': ['down', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'down', 'down'], 'green triangle': ['up', 'up'], 'green square': ['up', 'up', 'left'], 'red triangle': ['down', 'down', 'down', 'down', 'right']}","{'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2)], 'purple triangle': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0)], 'green triangle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9)], 'green square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9)], 'red triangle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (3, 3), (4, 3), (5, 3)]}","{'purple circle': ['up', 'up', 'left'], 'purple triangle': ['left', 'left', 'left', 'left'], 'green triangle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'green square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right'], 'red triangle': ['left', 'left', 'up', 'up', 'up', 'right', 'right', 'right']}"
6,"(4, 0)","(4, 7)",purple circle,"['triangle', 'circle', 'square', 'green', 'purple', 'red']","{(0, 1): 'red triangle', (5, 0): 'red circle', (0, 8): 'green circle', (5, 7): 'green square', (6, 3): 'purple circle'}",5,R,"{'triangle': 'red triangle', 'circle': 'green circle', 'square': 'green square', 'green': 'green circle', 'purple': 'purple circle', 'red': 'red triangle'}","{'red triangle': (0, 1), 'red circle': (5, 0), 'green circle': (0, 8), 'green square': (5, 7), 'purple circle': (6, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'red triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (1, 6), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1)], 'red circle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0)], 'green circle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 8)], 'green square': [(4, 7), (5, 7)], 'purple circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3)]}","{'red triangle': ['down', 'left', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down'], 'red circle': ['down', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right'], 'green circle': ['left', 'left', 'left', 'left', 'up'], 'green square': ['right'], 'purple circle': ['left', 'left', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right']}","{'red triangle': [(4, 0), (4, 1), (3, 1), (2, 1), (1, 1), (0, 1)], 'red circle': [(4, 0), (5, 0)], 'green circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5), (0, 6), (0, 7), (0, 8)], 'green square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)], 'purple circle': [(4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3)]}","{'red triangle': ['up', 'left', 'left', 'left', 'left'], 'red circle': ['right'], 'green circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left', 'up', 'up', 'up'], 'green square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'right', 'right', 'right'], 'purple circle': ['right', 'right', 'up', 'up', 'up']}"
7,"(4, 0)","(4, 7)",green circle,"['square', 'circle', 'triangle', 'purple', 'green', 'red']","{(0, 1): 'red square', (5, 0): 'red circle', (0, 8): 'purple circle', (5, 7): 'purple triangle', (6, 3): 'green circle'}",5,S,"{'square': 'red square', 'circle': 'purple circle', 'triangle': 'purple triangle', 'purple': 'purple circle', 'green': 'green circle', 'red': 'red square'}","{'red square': (0, 1), 'red circle': (5, 0), 'purple circle': (0, 8), 'purple triangle': (5, 7), 'green circle': (6, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'red square': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (1, 3), (0, 3), (0, 2), (0, 1)], 'red circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0)], 'purple circle': [(4, 7), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)], 'purple triangle': [(4, 7), (5, 7)], 'green circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (5, 3), (6, 3)]}","{'red square': ['down', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'down'], 'red circle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'down', 'down', 'right', 'right', 'right'], 'purple circle': ['up', 'left', 'left', 'left', 'left'], 'purple triangle': ['right'], 'green circle': ['down', 'down', 'down', 'down', 'right', 'right']}","{'red square': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1)], 'red circle': [(4, 0), (5, 0)], 'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (1, 2), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)], 'green circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3)]}","{'red square': ['left', 'left', 'left', 'left', 'up'], 'red circle': ['right'], 'purple circle': ['up', 'up', 'left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'green circle': ['up', 'up', 'left', 'left', 'up', 'right', 'right', 'right', 'right']}"
8,"(4, 0)","(4, 7)",green circle,"['red', 'green', 'purple', 'square', 'circle', 'triangle']","{(6, 2): 'red triangle', (8, 0): 'green triangle', (5, 8): 'green square', (8, 9): 'purple square', (5, 4): 'green circle'}",5,R,"{'red': 'red triangle', 'green': 'green square', 'purple': 'purple square', 'square': 'purple square', 'circle': 'green circle', 'triangle': 'red triangle'}","{'red triangle': (6, 2), 'green triangle': (8, 0), 'green square': (5, 8), 'purple square': (8, 9), 'green circle': (5, 4)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'red triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2)], 'green triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0)], 'green square': [(4, 7), (4, 8), (5, 8)], 'purple square': [(4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 8), (8, 9)], 'green circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (3, 4), (4, 4), (5, 4)]}","{'red triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right'], 'green triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'right'], 'green square': ['up', 'right'], 'purple square': ['right', 'right', 'right', 'right', 'up', 'up'], 'green circle': ['left', 'left', 'down', 'down', 'down', 'right', 'right', 'right']}","{'red triangle': [(4, 0), (5, 0), (6, 0), (6, 1), (6, 2)], 'green triangle': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0)], 'green square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8), (5, 8)], 'purple square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)], 'green circle': [(4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (5, 4)]}","{'red triangle': ['right', 'right', 'up', 'up'], 'green triangle': ['right', 'right', 'right', 'right'], 'green square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'purple square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'green circle': ['right', 'up', 'up', 'up', 'up']}"
9,"(4, 0)","(4, 7)",green triangle,"['red', 'green', 'purple', 'circle', 'triangle', 'square']","{(6, 2): 'red square', (8, 0): 'green square', (5, 8): 'green circle', (8, 9): 'purple circle', (5, 4): 'green triangle'}",5,S,"{'red': 'red square', 'green': 'green circle', 'purple': 'purple circle', 'circle': 'green circle', 'triangle': 'green triangle', 'square': 'red square'}","{'red square': (6, 2), 'green square': (8, 0), 'green circle': (5, 8), 'purple circle': (8, 9), 'green triangle': (5, 4)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'red square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2)], 'green square': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0)], 'green circle': [(4, 7), (5, 7), (5, 8)], 'purple circle': [(4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)], 'green triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (5, 4)]}","{'red square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right'], 'green square': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'right'], 'green circle': ['right', 'up'], 'purple circle': ['up', 'up', 'right', 'right', 'right', 'right'], 'green triangle': ['down', 'down', 'down', 'right']}","{'red square': [(4, 0), (4, 1), (4, 2), (5, 2), (6, 2)], 'green square': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0)], 'green circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8), (5, 8)], 'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)], 'green triangle': [(4, 0), (3, 0), (3, 1), (3, 2), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4), (5, 4)]}","{'red square': ['up', 'up', 'right', 'right'], 'green square': ['right', 'right', 'right', 'right'], 'green circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'purple circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'green triangle': ['left', 'up', 'up', 'left', 'up', 'up', 'right', 'right', 'right']}"
