,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,abstractSetup,receiverIntentionDict,revTargetDict,barrierDict,recTraj,recActSeq,sigTraj,sigActSeq
0,"(4, 0)","(4, 7)",purple circle,"['square', 'triangle', 'circle', 'red', 'purple', 'green']","{(7, 1): 'green square', (1, 2): 'green triangle', (5, 7): 'red circle', (8, 9): 'red triangle', (4, 3): 'purple circle'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'square': 'green square', 'triangle': 'red triangle', 'circle': 'red circle', 'red': 'red triangle', 'purple': 'purple circle', 'green': 'green triangle'}","{'green square': (7, 1), 'green triangle': (1, 2), 'red circle': (5, 7), 'red triangle': (8, 9), 'purple circle': (4, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green square': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (7, 1)], 'green triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)], 'red circle': [(4, 7), (5, 7)], 'red triangle': [(4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)], 'purple circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3)]}","{'green square': ['down', 'left', 'left', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'down'], 'green triangle': ['left', 'left', 'left', 'down', 'down', 'down', 'down', 'down'], 'red circle': ['right'], 'red triangle': ['up', 'up', 'right', 'right', 'right', 'right'], 'purple circle': ['left', 'left', 'down', 'down', 'down', 'down', 'right', 'right']}","{'green square': [(4, 0), (5, 0), (6, 0), (7, 0), (7, 1)], 'green triangle': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2)], 'red circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)], 'red triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)], 'purple circle': [(4, 0), (4, 1), (4, 2), (4, 3)]}","{'green square': ['right', 'right', 'right', 'up'], 'green triangle': ['left', 'left', 'left', 'up', 'up'], 'red circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'red triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'purple circle': ['up', 'up', 'up']}"
1,"(4, 0)","(4, 7)",purple circle,"['square', 'triangle', 'circle', 'red', 'purple', 'green']","{(7, 1): 'green square', (1, 2): 'green triangle', (5, 7): 'red circle', (8, 9): 'red triangle', (4, 3): 'purple circle'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'square': 'green square', 'triangle': 'red triangle', 'circle': 'red circle', 'red': 'red circle', 'purple': 'purple circle', 'green': 'green triangle'}","{'green square': (7, 1), 'green triangle': (1, 2), 'red circle': (5, 7), 'red triangle': (8, 9), 'purple circle': (4, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green square': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (7, 1)], 'green triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (1, 3), (1, 2)], 'red circle': [(4, 7), (5, 7)], 'red triangle': [(4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 8), (8, 9)], 'purple circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3)]}","{'green square': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'down'], 'green triangle': ['down', 'down', 'down', 'down', 'left', 'left', 'left', 'down'], 'red circle': ['right'], 'red triangle': ['right', 'right', 'right', 'right', 'up', 'up'], 'purple circle': ['down', 'down', 'down', 'down']}","{'green square': [(4, 0), (4, 1), (5, 1), (6, 1), (7, 1)], 'green triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (1, 2)], 'red circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)], 'red triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)], 'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3)]}","{'green square': ['up', 'right', 'right', 'right'], 'green triangle': ['up', 'up', 'left', 'left', 'left'], 'red circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'red triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'purple circle': ['up', 'up', 'left', 'left', 'up', 'right', 'right']}"
2,"(4, 0)","(4, 7)",purple square,"['green', 'red', 'purple', 'circle', 'square', 'triangle']","{(5, 2): 'green triangle', (6, 2): 'red triangle', (5, 9): 'purple circle', (1, 8): 'red circle', (6, 3): 'purple square'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'green': 'green triangle', 'red': 'red circle', 'purple': 'purple circle', 'circle': 'red circle', 'square': 'purple square', 'triangle': 'red triangle'}","{'green triangle': (5, 2), 'red triangle': (6, 2), 'purple circle': (5, 9), 'red circle': (1, 8), 'purple square': (6, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2)], 'red triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2)], 'purple circle': [(4, 7), (5, 7), (5, 8), (5, 9)], 'red circle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 8)], 'purple square': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3)]}","{'green triangle': ['down', 'left', 'left', 'down', 'down', 'down', 'down', 'right', 'right', 'right'], 'red triangle': ['down', 'left', 'left', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right'], 'purple circle': ['right', 'up', 'up'], 'red circle': ['left', 'left', 'left', 'up'], 'purple square': ['down', 'left', 'left', 'down', 'down', 'down', 'right', 'right', 'right', 'right']}","{'green triangle': [(4, 0), (5, 0), (5, 1), (5, 2)], 'red triangle': [(4, 0), (4, 1), (4, 2), (5, 2), (6, 2)], 'purple circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9)], 'red circle': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8)], 'purple square': [(4, 0), (4, 1), (4, 2), (4, 3), (5, 3), (6, 3)]}","{'green triangle': ['right', 'up', 'up'], 'red triangle': ['up', 'up', 'right', 'right'], 'purple circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'red circle': ['left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple square': ['up', 'up', 'up', 'right', 'right']}"
3,"(4, 0)","(4, 7)",purple square,"['green', 'red', 'purple', 'circle', 'square', 'triangle']","{(5, 2): 'green triangle', (6, 2): 'red triangle', (5, 9): 'purple circle', (1, 8): 'red circle', (6, 3): 'purple square'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'green': 'green triangle', 'red': 'red circle', 'purple': 'purple circle', 'circle': 'purple circle', 'square': 'purple square', 'triangle': 'red triangle'}","{'green triangle': (5, 2), 'red triangle': (6, 2), 'purple circle': (5, 9), 'red circle': (1, 8), 'purple square': (6, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2)], 'red triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2)], 'purple circle': [(4, 7), (4, 8), (4, 9), (5, 9)], 'red circle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 8)], 'purple square': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (5, 3), (6, 3)]}","{'green triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right'], 'red triangle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right'], 'purple circle': ['up', 'up', 'right'], 'red circle': ['left', 'left', 'left', 'up'], 'purple square': ['down', 'down', 'down', 'down', 'right', 'right']}","{'green triangle': [(4, 0), (4, 1), (4, 2), (5, 2)], 'red triangle': [(4, 0), (4, 1), (4, 2), (5, 2), (6, 2)], 'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9)], 'red circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8)], 'purple square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3)]}","{'green triangle': ['up', 'up', 'right'], 'red triangle': ['up', 'up', 'right', 'right'], 'purple circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'red circle': ['up', 'up', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple square': ['up', 'up', 'left', 'left', 'up', 'right', 'right', 'right', 'right']}"
4,"(4, 0)","(4, 7)",red triangle,"['purple', 'green', 'red', 'square', 'triangle', 'circle']","{(5, 0): 'purple circle', (1, 1): 'green circle', (5, 8): 'red square', (7, 6): 'green square', (4, 3): 'red triangle'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'purple': 'purple circle', 'green': 'green square', 'red': 'red square', 'square': 'green square', 'triangle': 'red triangle', 'circle': 'green circle'}","{'purple circle': (5, 0), 'green circle': (1, 1), 'red square': (5, 8), 'green square': (7, 6), 'red triangle': (4, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'purple circle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0)], 'green circle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2), (1, 1)], 'red square': [(4, 7), (4, 8), (5, 8)], 'green square': [(4, 7), (5, 7), (6, 7), (7, 7), (7, 6)], 'red triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3)]}","{'purple circle': ['down', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right'], 'green circle': ['left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down'], 'red square': ['up', 'right'], 'green square': ['right', 'right', 'right', 'down'], 'red triangle': ['down', 'left', 'left', 'down', 'down', 'down', 'right', 'right']}","{'purple circle': [(4, 0), (5, 0)], 'green circle': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1)], 'red square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8), (5, 8)], 'green square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6)], 'red triangle': [(4, 0), (4, 1), (4, 2), (4, 3)]}","{'purple circle': ['right'], 'green circle': ['left', 'left', 'left', 'up'], 'red square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'right', 'right', 'right'], 'green square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'right', 'right', 'right', 'right', 'right'], 'red triangle': ['up', 'up', 'up']}"
5,"(4, 0)","(4, 7)",red triangle,"['purple', 'green', 'red', 'square', 'triangle', 'circle']","{(5, 0): 'purple circle', (1, 1): 'green circle', (5, 8): 'red square', (7, 6): 'green square', (4, 3): 'red triangle'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'purple': 'purple circle', 'green': 'green square', 'red': 'red square', 'square': 'red square', 'triangle': 'red triangle', 'circle': 'green circle'}","{'purple circle': (5, 0), 'green circle': (1, 1), 'red square': (5, 8), 'green square': (7, 6), 'red triangle': (4, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0)], 'green circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (1, 3), (1, 2), (1, 1)], 'red square': [(4, 7), (4, 8), (5, 8)], 'green square': [(4, 7), (4, 6), (5, 6), (6, 6), (7, 6)], 'red triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3)]}","{'purple circle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'down', 'down', 'right', 'right', 'right'], 'green circle': ['down', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'down'], 'red square': ['up', 'right'], 'green square': ['down', 'right', 'right', 'right'], 'red triangle': ['down', 'down', 'down', 'down']}","{'purple circle': [(4, 0), (5, 0)], 'green circle': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1)], 'red square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8), (5, 8)], 'green square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6)], 'red triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3)]}","{'purple circle': ['right'], 'green circle': ['left', 'left', 'left', 'up'], 'red square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'green square': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'red triangle': ['up', 'up', 'left', 'left', 'up', 'right', 'right']}"
6,"(4, 0)","(4, 7)",red square,"['green', 'purple', 'red', 'circle', 'square', 'triangle']","{(6, 2): 'green triangle', (7, 1): 'purple triangle', (7, 9): 'red circle', (1, 5): 'purple circle', (4, 3): 'red square'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'green': 'green triangle', 'purple': 'purple circle', 'red': 'red circle', 'circle': 'purple circle', 'square': 'red square', 'triangle': 'green triangle'}","{'green triangle': (6, 2), 'purple triangle': (7, 1), 'red circle': (7, 9), 'purple circle': (1, 5), 'red square': (4, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2)], 'purple triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (7, 1)], 'red circle': [(4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9)], 'purple circle': [(4, 7), (4, 6), (3, 6), (2, 6), (1, 6), (1, 5)], 'red square': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3)]}","{'green triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right'], 'purple triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'down'], 'red circle': ['up', 'up', 'right', 'right', 'right'], 'purple circle': ['down', 'left', 'left', 'left', 'down'], 'red square': ['down', 'left', 'left', 'down', 'down', 'down', 'right', 'right']}","{'green triangle': [(4, 0), (5, 0), (6, 0), (6, 1), (6, 2)], 'purple triangle': [(4, 0), (5, 0), (6, 0), (7, 0), (7, 1)], 'red circle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9)], 'purple circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5)], 'red square': [(4, 0), (4, 1), (4, 2), (4, 3)]}","{'green triangle': ['right', 'right', 'up', 'up'], 'purple triangle': ['right', 'right', 'right', 'up'], 'red circle': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'purple circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left'], 'red square': ['up', 'up', 'up']}"
7,"(4, 0)","(4, 7)",red square,"['green', 'purple', 'red', 'circle', 'square', 'triangle']","{(6, 2): 'green triangle', (7, 1): 'purple triangle', (7, 9): 'red circle', (1, 5): 'purple circle', (4, 3): 'red square'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'green': 'green triangle', 'purple': 'purple circle', 'red': 'red circle', 'circle': 'red circle', 'square': 'red square', 'triangle': 'green triangle'}","{'green triangle': (6, 2), 'purple triangle': (7, 1), 'red circle': (7, 9), 'purple circle': (1, 5), 'red square': (4, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2)], 'purple triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (7, 1)], 'red circle': [(4, 7), (5, 7), (6, 7), (7, 7), (7, 8), (7, 9)], 'purple circle': [(4, 7), (4, 6), (4, 5), (3, 5), (2, 5), (1, 5)], 'red square': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3)]}","{'green triangle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right'], 'purple triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'down'], 'red circle': ['right', 'right', 'right', 'up', 'up'], 'purple circle': ['down', 'down', 'left', 'left', 'left'], 'red square': ['down', 'down', 'down', 'down']}","{'green triangle': [(4, 0), (4, 1), (4, 2), (5, 2), (6, 2)], 'purple triangle': [(4, 0), (4, 1), (5, 1), (6, 1), (7, 1)], 'red circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9)], 'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (1, 2), (1, 3), (1, 4), (1, 5)], 'red square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3)]}","{'green triangle': ['up', 'up', 'right', 'right'], 'purple triangle': ['up', 'right', 'right', 'right'], 'red circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'purple circle': ['up', 'up', 'left', 'left', 'left', 'up', 'up', 'up'], 'red square': ['up', 'up', 'left', 'left', 'up', 'right', 'right']}"
8,"(4, 0)","(4, 7)",purple square,"['red', 'green', 'purple', 'square', 'triangle', 'circle']","{(3, 1): 'red circle', (8, 6): 'purple square', (1, 8): 'purple triangle', (0, 6): 'green triangle', (4, 3): 'green square'}",5,R,"{'receiver': ['A1', 'A2', 'B2'], 'signaler': ['C3'], 'flipped': ['B1']}","{'red': 'red circle', 'green': 'green triangle', 'purple': 'purple triangle', 'square': 'purple square', 'triangle': 'purple triangle', 'circle': 'red circle'}","{'red circle': (3, 1), 'purple square': (8, 6), 'purple triangle': (1, 8), 'green triangle': (0, 6), 'green square': (4, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'red circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (3, 1)], 'purple square': [(4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 6)], 'purple triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 8)], 'green triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6)], 'green square': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3)]}","{'red circle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'right'], 'purple square': ['right', 'right', 'right', 'right', 'down'], 'purple triangle': ['left', 'left', 'left', 'up'], 'green triangle': ['left', 'left', 'left', 'left', 'down'], 'green square': ['down', 'left', 'left', 'down', 'down', 'down', 'right', 'right']}","{'red circle': [(4, 0), (4, 1), (3, 1)], 'purple square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (1, 6), (1, 7), (1, 8)], 'green triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5), (0, 6)], 'green square': [(4, 0), (4, 1), (4, 2), (4, 3)]}","{'red circle': ['up', 'left'], 'purple square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'purple triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'up', 'up', 'up'], 'green triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left', 'up'], 'green square': ['up', 'up', 'up']}"
9,"(4, 0)","(4, 7)",purple square,"['red', 'green', 'purple', 'square', 'triangle', 'circle']","{(3, 1): 'red circle', (8, 6): 'purple square', (1, 8): 'purple triangle', (0, 6): 'green triangle', (4, 3): 'green square'}",5,S,"{'receiver': ['A1', 'A2', 'B2'], 'signaler': ['C3'], 'flipped': ['B1']}","{'red': 'red circle', 'green': 'green square', 'purple': 'purple square', 'square': 'green square', 'triangle': 'green triangle', 'circle': 'red circle'}","{'red circle': (3, 1), 'purple square': (8, 6), 'purple triangle': (1, 8), 'green triangle': (0, 6), 'green square': (4, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'red circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (3, 1)], 'purple square': [(4, 7), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'purple triangle': [(4, 7), (4, 8), (3, 8), (2, 8), (1, 8)], 'green triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6)], 'green square': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3)]}","{'red circle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'right'], 'purple square': ['down', 'right', 'right', 'right', 'right'], 'purple triangle': ['up', 'left', 'left', 'left'], 'green triangle': ['left', 'left', 'left', 'left', 'down'], 'green square': ['down', 'down', 'down', 'down']}","{'red circle': [(4, 0), (4, 1), (3, 1)], 'purple square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8)], 'green triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (1, 6), (0, 6)], 'green square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3)]}","{'red circle': ['up', 'left'], 'purple square': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'purple triangle': ['up', 'up', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up'], 'green triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'left', 'left'], 'green square': ['up', 'up', 'left', 'left', 'up', 'right', 'right']}"
