,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,abstractSetup,receiverIntentionDict,revTargetDict,barrierDict,recTraj,recActSeq,sigTraj,sigActSeq,predSignalNoActionUtility
0,"(4, 0)","(4, 7)",red square,"['square', 'triangle', 'circle', 'green', 'red', 'purple']","{(4, 2): 'purple triangle', (7, 0): 'purple circle', (6, 8): 'green square', (3, 8): 'green circle', (6, 4): 'red square'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'square': 'green square', 'triangle': 'purple triangle', 'circle': 'green circle', 'green': 'green square', 'red': 'red square', 'purple': 'purple triangle'}","{'purple triangle': (4, 2), 'purple circle': (7, 0), 'green square': (6, 8), 'green circle': (3, 8), 'red square': (6, 4)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'purple triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2)], 'purple circle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (7, 4), (7, 3), (7, 2), (7, 1), (7, 0)], 'green square': [(4, 7), (4, 8), (5, 8), (6, 8)], 'green circle': [(4, 7), (3, 7), (3, 8)], 'red square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4)]}","{'purple triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right'], 'purple circle': ['down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'down'], 'green square': ['up', 'right', 'right'], 'green circle': ['left', 'up'], 'red square': ['left', 'left', 'down', 'down', 'down', 'right', 'right', 'right', 'right']}","{'purple triangle': [(4, 0), (4, 1), (4, 2)], 'purple circle': [(4, 0), (5, 0), (6, 0), (7, 0)], 'green square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8)], 'green circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8)], 'red square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 4), (6, 4)]}","{'purple triangle': ['up', 'up'], 'purple circle': ['right', 'right', 'right'], 'green square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'right', 'right', 'right', 'right'], 'green circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'right'], 'red square': ['up', 'up', 'up', 'up', 'right', 'right']}",do
1,"(4, 0)","(4, 7)",red square,"['square', 'triangle', 'circle', 'green', 'red', 'purple']","{(4, 2): 'purple triangle', (7, 0): 'purple circle', (6, 8): 'green square', (3, 8): 'green circle', (6, 4): 'red square'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'square': 'green square', 'triangle': 'purple triangle', 'circle': 'green circle', 'green': 'green square', 'red': 'red square', 'purple': 'purple triangle'}","{'purple triangle': (4, 2), 'purple circle': (7, 0), 'green square': (6, 8), 'green circle': (3, 8), 'red square': (6, 4)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (3, 2), (4, 2)], 'purple circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (7, 1), (7, 0)], 'green square': [(4, 7), (4, 8), (5, 8), (6, 8)], 'green circle': [(4, 7), (4, 8), (3, 8)], 'red square': [(4, 7), (4, 6), (4, 5), (4, 4), (5, 4), (6, 4)]}","{'purple triangle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right'], 'purple circle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down'], 'green square': ['up', 'right', 'right'], 'green circle': ['up', 'left'], 'red square': ['down', 'down', 'down', 'right', 'right']}","{'purple triangle': [(4, 0), (4, 1), (4, 2)], 'purple circle': [(4, 0), (5, 0), (6, 0), (7, 0)], 'green square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8)], 'green circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8)], 'red square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4)]}","{'purple triangle': ['up', 'up'], 'purple circle': ['right', 'right', 'right'], 'green square': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right'], 'green circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'right'], 'red square': ['left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right']}",red
2,"(4, 0)","(4, 7)",green triangle,"['triangle', 'circle', 'square', 'purple', 'green', 'red']","{(4, 2): 'red circle', (3, 1): 'red square', (5, 6): 'purple triangle', (4, 8): 'purple square', (4, 4): 'green triangle'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'triangle': 'purple triangle', 'circle': 'red circle', 'square': 'purple square', 'purple': 'purple triangle', 'green': 'green triangle', 'red': 'red square'}","{'red circle': (4, 2), 'red square': (3, 1), 'purple triangle': (5, 6), 'purple square': (4, 8), 'green triangle': (4, 4)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'red circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2)], 'red square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (3, 1)], 'purple triangle': [(4, 7), (5, 7), (5, 6)], 'purple square': [(4, 7), (4, 8)], 'green triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (3, 4), (4, 4)]}","{'red circle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right'], 'red square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'right'], 'purple triangle': ['right', 'down'], 'purple square': ['up'], 'green triangle': ['down', 'left', 'left', 'down', 'down', 'right', 'right']}","{'red circle': [(4, 0), (4, 1), (4, 2)], 'red square': [(4, 0), (4, 1), (3, 1)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)], 'purple square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8)], 'green triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]}","{'red circle': ['up', 'up'], 'red square': ['up', 'left'], 'purple triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'right', 'right', 'right'], 'purple square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'green triangle': ['up', 'up', 'up', 'up']}",do
3,"(4, 0)","(4, 7)",green triangle,"['triangle', 'circle', 'square', 'purple', 'green', 'red']","{(4, 2): 'red circle', (3, 1): 'red square', (5, 6): 'purple triangle', (4, 8): 'purple square', (4, 4): 'green triangle'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'triangle': 'purple triangle', 'circle': 'red circle', 'square': 'purple square', 'purple': 'purple triangle', 'green': 'green triangle', 'red': 'red square'}","{'red circle': (4, 2), 'red square': (3, 1), 'purple triangle': (5, 6), 'purple square': (4, 8), 'green triangle': (4, 4)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'red circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (3, 2), (4, 2)], 'red square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (3, 1)], 'purple triangle': [(4, 7), (5, 7), (5, 6)], 'purple square': [(4, 7), (4, 8)], 'green triangle': [(4, 7), (4, 6), (4, 5), (4, 4)]}","{'red circle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right'], 'red square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'right'], 'purple triangle': ['right', 'down'], 'purple square': ['up'], 'green triangle': ['down', 'down', 'down']}","{'red circle': [(4, 0), (4, 1), (4, 2)], 'red square': [(4, 0), (4, 1), (3, 1)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)], 'purple square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8)], 'green triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4)]}","{'red circle': ['up', 'up'], 'red square': ['up', 'left'], 'purple triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'purple square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'green triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'right', 'right']}",green
4,"(4, 0)","(4, 7)",purple triangle,"['purple', 'green', 'red', 'circle', 'triangle', 'square']","{(1, 1): 'green square', (3, 0): 'red square', (8, 6): 'purple circle', (2, 6): 'red circle', (6, 4): 'purple triangle'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'purple': 'purple circle', 'green': 'green square', 'red': 'red circle', 'circle': 'purple circle', 'triangle': 'purple triangle', 'square': 'green square'}","{'green square': (1, 1), 'red square': (3, 0), 'purple circle': (8, 6), 'red circle': (2, 6), 'purple triangle': (6, 4)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green square': [(4, 7), (4, 6), (3, 6), (2, 6), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2), (1, 1)], 'red square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0)], 'purple circle': [(4, 7), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'red circle': [(4, 7), (4, 6), (3, 6), (2, 6)], 'purple triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4)]}","{'green square': ['down', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down'], 'red square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'right'], 'purple circle': ['down', 'right', 'right', 'right', 'right'], 'red circle': ['down', 'left', 'left'], 'purple triangle': ['left', 'left', 'down', 'down', 'down', 'right', 'right', 'right', 'right']}","{'green square': [(4, 0), (4, 1), (3, 1), (2, 1), (1, 1)], 'red square': [(4, 0), (3, 0)], 'purple circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'red circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 4), (6, 4)]}","{'green square': ['up', 'left', 'left', 'left'], 'red square': ['left'], 'purple circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'red circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up'], 'purple triangle': ['up', 'up', 'up', 'up', 'right', 'right']}",do
5,"(4, 0)","(4, 7)",purple triangle,"['purple', 'green', 'red', 'circle', 'triangle', 'square']","{(1, 1): 'green square', (3, 0): 'red square', (8, 6): 'purple circle', (2, 6): 'red circle', (6, 4): 'purple triangle'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'purple': 'purple circle', 'green': 'green square', 'red': 'red circle', 'circle': 'purple circle', 'triangle': 'purple triangle', 'square': 'green square'}","{'green square': (1, 1), 'red square': (3, 0), 'purple circle': (8, 6), 'red circle': (2, 6), 'purple triangle': (6, 4)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green square': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2), (1, 1)], 'red square': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0)], 'purple circle': [(4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 6)], 'red circle': [(4, 7), (3, 7), (2, 7), (2, 6)], 'purple triangle': [(4, 7), (5, 7), (6, 7), (6, 6), (6, 5), (6, 4)]}","{'green square': ['left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down'], 'red square': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'down', 'down', 'right'], 'purple circle': ['right', 'right', 'right', 'right', 'down'], 'red circle': ['left', 'left', 'down'], 'purple triangle': ['right', 'right', 'down', 'down', 'down']}","{'green square': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1)], 'red square': [(4, 0), (3, 0)], 'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'red circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6)], 'purple triangle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4)]}","{'green square': ['left', 'left', 'left', 'up'], 'red square': ['left'], 'purple circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'red circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up'], 'purple triangle': ['left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right']}",triangle
6,"(4, 0)","(4, 7)",green circle,"['circle', 'triangle', 'square', 'red', 'green', 'purple']","{(7, 0): 'purple triangle', (2, 0): 'purple square', (8, 7): 'red circle', (7, 7): 'red square', (4, 3): 'green circle'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'circle': 'red circle', 'triangle': 'purple triangle', 'square': 'red square', 'red': 'red circle', 'green': 'green circle', 'purple': 'purple square'}","{'purple triangle': (7, 0), 'purple square': (2, 0), 'red circle': (8, 7), 'red square': (7, 7), 'green circle': (4, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'purple triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (7, 4), (7, 3), (7, 2), (7, 1), (7, 0)], 'purple square': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0)], 'red circle': [(4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'red square': [(4, 7), (5, 7), (6, 7), (7, 7)], 'green circle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3)]}","{'purple triangle': ['down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'down'], 'purple square': ['down', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down'], 'red circle': ['right', 'right', 'right', 'right'], 'red square': ['right', 'right', 'right'], 'green circle': ['down', 'left', 'left', 'down', 'down', 'down', 'right', 'right']}","{'purple triangle': [(4, 0), (5, 0), (6, 0), (7, 0)], 'purple square': [(4, 0), (3, 0), (2, 0)], 'red circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'red square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)], 'green circle': [(4, 0), (4, 1), (4, 2), (4, 3)]}","{'purple triangle': ['right', 'right', 'right'], 'purple square': ['left', 'left'], 'red circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'red square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'green circle': ['up', 'up', 'up']}",do
7,"(4, 0)","(4, 7)",green circle,"['circle', 'triangle', 'square', 'red', 'green', 'purple']","{(7, 0): 'purple triangle', (2, 0): 'purple square', (8, 7): 'red circle', (7, 7): 'red square', (4, 3): 'green circle'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'circle': 'red circle', 'triangle': 'purple triangle', 'square': 'red square', 'red': 'red circle', 'green': 'green circle', 'purple': 'purple square'}","{'purple triangle': (7, 0), 'purple square': (2, 0), 'red circle': (8, 7), 'red square': (7, 7), 'green circle': (4, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (7, 1), (7, 0)], 'purple square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0)], 'red circle': [(4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'red square': [(4, 7), (5, 7), (6, 7), (7, 7)], 'green circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3)]}","{'purple triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down'], 'purple square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down'], 'red circle': ['right', 'right', 'right', 'right'], 'red square': ['right', 'right', 'right'], 'green circle': ['down', 'down', 'down', 'down']}","{'purple triangle': [(4, 0), (5, 0), (6, 0), (7, 0)], 'purple square': [(4, 0), (3, 0), (2, 0)], 'red circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'red square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)], 'green circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3)]}","{'purple triangle': ['right', 'right', 'right'], 'purple square': ['left', 'left'], 'red circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'red square': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'green circle': ['up', 'up', 'left', 'left', 'up', 'right', 'right']}",green
8,"(4, 0)","(4, 7)",purple square,"['purple', 'green', 'red', 'circle', 'square', 'triangle']","{(0, 1): 'green triangle', (4, 2): 'red triangle', (2, 5): 'purple circle', (1, 7): 'red circle', (6, 3): 'purple square'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'purple': 'purple circle', 'green': 'green triangle', 'red': 'red circle', 'circle': 'purple circle', 'square': 'purple square', 'triangle': 'green triangle'}","{'green triangle': (0, 1), 'red triangle': (4, 2), 'purple circle': (2, 5), 'red circle': (1, 7), 'purple square': (6, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1)], 'red triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2)], 'purple circle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5)], 'red circle': [(4, 7), (3, 7), (2, 7), (1, 7)], 'purple square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3)]}","{'green triangle': ['left', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down'], 'red triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right'], 'purple circle': ['down', 'left', 'left', 'down'], 'red circle': ['left', 'left', 'left'], 'purple square': ['left', 'left', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right']}","{'green triangle': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1)], 'red triangle': [(4, 0), (4, 1), (4, 2)], 'purple circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5)], 'red circle': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7)], 'purple square': [(4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3)]}","{'green triangle': ['left', 'left', 'left', 'left', 'up'], 'red triangle': ['up', 'up'], 'purple circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left'], 'red circle': ['left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple square': ['right', 'right', 'up', 'up', 'up']}",do
9,"(4, 0)","(4, 7)",purple square,"['purple', 'green', 'red', 'circle', 'square', 'triangle']","{(0, 1): 'green triangle', (4, 2): 'red triangle', (2, 5): 'purple circle', (1, 7): 'red circle', (6, 3): 'purple square'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'purple': 'purple circle', 'green': 'green triangle', 'red': 'red circle', 'circle': 'purple circle', 'square': 'purple square', 'triangle': 'green triangle'}","{'green triangle': (0, 1), 'red triangle': (4, 2), 'purple circle': (2, 5), 'red circle': (1, 7), 'purple square': (6, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1)], 'red triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (3, 2), (4, 2)], 'purple circle': [(4, 7), (4, 6), (4, 5), (3, 5), (2, 5)], 'red circle': [(4, 7), (3, 7), (2, 7), (1, 7)], 'purple square': [(4, 7), (5, 7), (6, 7), (6, 6), (6, 5), (6, 4), (6, 3)]}","{'green triangle': ['left', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down'], 'red triangle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right'], 'purple circle': ['down', 'down', 'left', 'left'], 'red circle': ['left', 'left', 'left'], 'purple square': ['right', 'right', 'down', 'down', 'down', 'down']}","{'green triangle': [(4, 0), (4, 1), (3, 1), (2, 1), (1, 1), (0, 1)], 'red triangle': [(4, 0), (4, 1), (4, 2)], 'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5)], 'red circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (1, 7)], 'purple square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3)]}","{'green triangle': ['up', 'left', 'left', 'left', 'left'], 'red triangle': ['up', 'up'], 'purple circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up'], 'red circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'left'], 'purple square': ['up', 'up', 'left', 'left', 'up', 'right', 'right', 'right', 'right']}",square
