,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,abstractSetup,predSignalNoActionUtility,revTargetDict,recTraj,recActSeq,sigTraj,sigActSeq
0,"(4, 0)","(4, 6)",green triangle75,"['square', 'purple', 'triangle', 'green']","{(7, 5): 'green triangle75', (1, 7): 'green square17', (5, 9): 'purple triangle59'}",3,N,PragOnly,green,"{'green triangle75': (7, 5), 'green square17': (1, 7), 'purple triangle59': (5, 9)}","{'green triangle75': [(4, 6), (5, 6), (6, 6), (7, 6), (7, 5)], 'green square17': [(4, 6), (4, 7), (3, 7), (2, 7), (1, 7)], 'purple triangle59': [(4, 6), (5, 6), (5, 7), (5, 8), (5, 9)]}","{'green triangle75': ['right', 'right', 'right', 'down'], 'green square17': ['up', 'left', 'left', 'left'], 'purple triangle59': ['right', 'up', 'up', 'up']}","{'green triangle75': [(4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5)], 'green square17': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (3, 7), (2, 7), (1, 7)], 'purple triangle59': [(4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9)]}","{'green triangle75': ['right', 'right', 'right', 'up', 'up', 'up', 'up', 'up'], 'green square17': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left'], 'purple triangle59': ['right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}"
1,"(4, 0)","(4, 6)",orange circle05,"['square', 'orange', 'circle', 'green']","{(0, 5): 'orange circle05', (8, 7): 'orange square87', (6, 4): 'green circle64'}",3,N,PragOnly,orange,"{'orange circle05': (0, 5), 'orange square87': (8, 7), 'green circle64': (6, 4)}","{'orange circle05': [(4, 6), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5)], 'orange square87': [(4, 6), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'green circle64': [(4, 6), (4, 5), (4, 4), (5, 4), (6, 4)]}","{'orange circle05': ['down', 'left', 'left', 'left', 'left'], 'orange square87': ['up', 'right', 'right', 'right', 'right'], 'green circle64': ['down', 'down', 'right', 'right']}","{'orange circle05': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (1, 5), (0, 5)], 'orange square87': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7)], 'green circle64': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 4), (6, 4)]}","{'orange circle05': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'left', 'left'], 'orange square87': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'green circle64': ['up', 'up', 'up', 'up', 'right', 'right']}"
2,"(4, 0)","(4, 6)",orange square88,"['square', 'orange', 'triangle', 'green']","{(8, 8): 'orange square88', (1, 9): 'orange triangle19', (1, 4): 'green square14'}",3,N,PragOnly,orange,"{'orange square88': (8, 8), 'orange triangle19': (1, 9), 'green square14': (1, 4)}","{'orange square88': [(4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (8, 7), (8, 8)], 'orange triangle19': [(4, 6), (3, 6), (2, 6), (1, 6), (1, 7), (1, 8), (1, 9)], 'green square14': [(4, 6), (4, 5), (4, 4), (3, 4), (2, 4), (1, 4)]}","{'orange square88': ['right', 'right', 'right', 'right', 'up', 'up'], 'orange triangle19': ['left', 'left', 'left', 'up', 'up', 'up'], 'green square14': ['down', 'down', 'left', 'left', 'left']}","{'orange square88': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8)], 'orange triangle19': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9)], 'green square14': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (3, 4), (2, 4), (1, 4)]}","{'orange square88': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'orange triangle19': ['left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'green square14': ['up', 'up', 'up', 'up', 'left', 'left', 'left']}"
3,"(4, 0)","(4, 6)",orange triangle79,"['orange', 'circle', 'triangle', 'green']","{(7, 9): 'orange triangle79', (1, 9): 'orange circle19', (0, 5): 'green triangle05'}",3,N,PragOnly,orange,"{'orange triangle79': (7, 9), 'orange circle19': (1, 9), 'green triangle05': (0, 5)}","{'orange triangle79': [(4, 6), (4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9)], 'orange circle19': [(4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (1, 9)], 'green triangle05': [(4, 6), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5)]}","{'orange triangle79': ['up', 'up', 'up', 'right', 'right', 'right'], 'orange circle19': ['up', 'up', 'up', 'left', 'left', 'left'], 'green triangle05': ['down', 'left', 'left', 'left', 'left']}","{'orange triangle79': [(4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9)], 'orange circle19': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (1, 9)], 'green triangle05': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (0, 5)]}","{'orange triangle79': ['right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'orange circle19': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left'], 'green triangle05': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left']}"
4,"(4, 0)","(4, 6)",green circle29,"['square', 'circle', 'purple', 'green']","{(2, 9): 'green circle29', (6, 9): 'green square69', (5, 4): 'purple circle54'}",3,N,PragOnly,green,"{'green circle29': (2, 9), 'green square69': (6, 9), 'purple circle54': (5, 4)}","{'green circle29': [(4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9)], 'green square69': [(4, 6), (5, 6), (6, 6), (6, 7), (6, 8), (6, 9)], 'purple circle54': [(4, 6), (5, 6), (5, 5), (5, 4)]}","{'green circle29': ['up', 'up', 'up', 'left', 'left'], 'green square69': ['right', 'right', 'up', 'up', 'up'], 'purple circle54': ['right', 'down', 'down']}","{'green circle29': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9)], 'green square69': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (5, 9), (6, 9)], 'purple circle54': [(4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (5, 4)]}","{'green circle29': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left'], 'green square69': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'purple circle54': ['right', 'up', 'up', 'up', 'up']}"
5,"(4, 0)","(4, 6)",green square59,"['square', 'purple', 'triangle', 'green']","{(5, 9): 'green square59', (2, 8): 'green triangle28', (8, 5): 'purple square85'}",3,N,PragOnly,green,"{'green square59': (5, 9), 'green triangle28': (2, 8), 'purple square85': (8, 5)}","{'green square59': [(4, 6), (4, 7), (4, 8), (4, 9), (5, 9)], 'green triangle28': [(4, 6), (3, 6), (2, 6), (2, 7), (2, 8)], 'purple square85': [(4, 6), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)]}","{'green square59': ['up', 'up', 'up', 'right'], 'green triangle28': ['left', 'left', 'up', 'up'], 'purple square85': ['down', 'right', 'right', 'right', 'right']}","{'green square59': [(4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9)], 'green triangle28': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8)], 'purple square85': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)]}","{'green square59': ['right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'green triangle28': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple square85': ['up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right']}"
6,"(4, 0)","(4, 6)",green triangle14,"['purple', 'circle', 'triangle', 'green']","{(1, 4): 'green triangle14', (8, 5): 'green circle85', (0, 8): 'purple triangle08'}",3,N,PragOnly,green,"{'green triangle14': (1, 4), 'green circle85': (8, 5), 'purple triangle08': (0, 8)}","{'green triangle14': [(4, 6), (3, 6), (2, 6), (1, 6), (1, 5), (1, 4)], 'green circle85': [(4, 6), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)], 'purple triangle08': [(4, 6), (4, 7), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)]}","{'green triangle14': ['left', 'left', 'left', 'down', 'down'], 'green circle85': ['down', 'right', 'right', 'right', 'right'], 'purple triangle08': ['up', 'up', 'left', 'left', 'left', 'left']}","{'green triangle14': [(4, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (2, 4), (1, 4)], 'green circle85': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)], 'purple triangle08': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)]}","{'green triangle14': ['left', 'up', 'up', 'up', 'up', 'left', 'left'], 'green circle85': ['up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right'], 'purple triangle08': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left']}"
7,"(4, 0)","(4, 6)",purple circle67,"['square', 'orange', 'circle', 'purple']","{(6, 7): 'purple circle67', (3, 4): 'purple square34', (2, 9): 'orange circle29'}",3,N,PragOnly,purple,"{'purple circle67': (6, 7), 'purple square34': (3, 4), 'orange circle29': (2, 9)}","{'purple circle67': [(4, 6), (4, 7), (5, 7), (6, 7)], 'purple square34': [(4, 6), (3, 6), (3, 5), (3, 4)], 'orange circle29': [(4, 6), (3, 6), (2, 6), (2, 7), (2, 8), (2, 9)]}","{'purple circle67': ['up', 'right', 'right'], 'purple square34': ['left', 'down', 'down'], 'orange circle29': ['left', 'left', 'up', 'up', 'up']}","{'purple circle67': [(4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7)], 'purple square34': [(4, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4)], 'orange circle29': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9)]}","{'purple circle67': ['right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple square34': ['left', 'up', 'up', 'up', 'up'], 'orange circle29': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']}"
8,"(4, 0)","(4, 6)",purple square85,"['square', 'orange', 'triangle', 'purple']","{(8, 5): 'purple square85', (2, 9): 'purple triangle29', (1, 4): 'orange square14'}",3,N,PragOnly,purple,"{'purple square85': (8, 5), 'purple triangle29': (2, 9), 'orange square14': (1, 4)}","{'purple square85': [(4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (8, 5)], 'purple triangle29': [(4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9)], 'orange square14': [(4, 6), (4, 5), (4, 4), (3, 4), (2, 4), (1, 4)]}","{'purple square85': ['right', 'right', 'right', 'right', 'down'], 'purple triangle29': ['up', 'up', 'up', 'left', 'left'], 'orange square14': ['down', 'down', 'left', 'left', 'left']}","{'purple square85': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5)], 'purple triangle29': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9)], 'orange square14': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (3, 4), (2, 4), (1, 4)]}","{'purple square85': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up'], 'purple triangle29': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left'], 'orange square14': ['up', 'up', 'up', 'up', 'left', 'left', 'left']}"
9,"(4, 0)","(4, 6)",purple triangle08,"['orange', 'circle', 'triangle', 'purple']","{(0, 8): 'purple triangle08', (8, 8): 'purple circle88', (1, 4): 'orange triangle14'}",3,N,PragOnly,purple,"{'purple triangle08': (0, 8), 'purple circle88': (8, 8), 'orange triangle14': (1, 4)}","{'purple triangle08': [(4, 6), (4, 7), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)], 'purple circle88': [(4, 6), (4, 7), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8)], 'orange triangle14': [(4, 6), (3, 6), (2, 6), (1, 6), (1, 5), (1, 4)]}","{'purple triangle08': ['up', 'up', 'left', 'left', 'left', 'left'], 'purple circle88': ['up', 'up', 'right', 'right', 'right', 'right'], 'orange triangle14': ['left', 'left', 'left', 'down', 'down']}","{'purple triangle08': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)], 'purple circle88': [(4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (8, 8)], 'orange triangle14': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (3, 4), (2, 4), (1, 4)]}","{'purple triangle08': ['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left'], 'purple circle88': ['right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'orange triangle14': ['up', 'up', 'up', 'up', 'left', 'left', 'left']}"
